6.2800	-0.0451	0.0000	10.5791	0.0000	6.4683	8.0304
6.2800	0.0066	0.0000	71.2716	0.0000	6.4288	8.0722
6.2800	0.1361	0.0000	100.4903	0.0000	6.2862	8.1151
6.2800	0.0206	0.0000	78.1393	0.0000	6.4103	8.1592
6.2800	-0.0064	0.0000	30.5166	0.0000	6.4252	8.2026
6.2800	0.2106	0.0000	80.7150	0.0000	6.2023	8.2451
6.2800	-0.0161	0.0000	-13.1343	0.0000	6.4155	8.2908
6.2800	0.0716	0.0000	30.5860	0.0000	6.3337	8.3330
6.2800	-0.0688	0.0000	-20.2577	0.0000	6.4751	8.3763
6.2800	0.0406	0.0000	15.1561	0.0000	6.3615	8.4193
6.2800	0.2911	0.0000	120.9144	0.0000	6.1107	8.4626
6.2800	0.1839	0.0000	67.4303	0.0000	6.2174	8.5059
6.2800	0.1835	0.0000	86.4232	0.0000	6.2182	8.5489
6.2800	0.3179	0.0000	153.4851	0.0000	6.0790	8.5930
6.2800	0.2150	0.0000	121.1214	0.0000	6.1770	8.6355
6.2800	0.3339	0.0000	123.7990	0.0000	6.0559	8.6796
6.2800	0.1762	0.0000	102.0289	0.0000	6.2112	8.7230
6.2800	0.2087	0.0000	34.8121	0.0000	6.1567	8.7663
6.2800	0.0616	0.0000	25.7363	0.0000	6.3362	8.8089
6.2800	-0.0895	0.0000	23.9026	0.0000	6.5007	8.8534
6.2800	0.1844	0.0000	23.8165	0.0000	6.1633	8.8963
6.2800	0.4606	0.0000	205.4051	0.0000	5.9507	8.9385
6.2800	0.0335	0.0000	11.5787	0.0000	6.3755	8.9818
6.2800	0.0926	0.0000	41.0267	0.0000	6.3192	9.0252
6.2800	0.0862	0.0000	57.0290	0.0000	6.3158	9.0689
6.2800	0.1041	0.0000	65.9679	0.0000	6.2961	9.1130
6.2800	0.1452	0.0000	105.6306	0.0000	6.2601	9.1548
6.2800	0.0171	0.0000	-34.8695	0.0000	6.3833	9.1993
6.2800	0.1231	0.0000	56.3669	0.0000	6.2761	9.2419
6.2800	0.1711	0.0000	61.2448	0.0000	6.2289	9.2860
6.2800	0.1096	0.0000	30.5407	0.0000	6.2941	9.3281
6.2800	0.0032	0.0000	-3.2058	0.0000	6.4006	9.3722
6.2800	0.2610	0.0000	125.0768	0.0000	6.1503	9.4144
6.2800	0.1849	0.0000	68.2390	0.0000	6.2234	9.4578
6.2800	0.0719	0.0000	30.7676	0.0000	6.3278	9.5019
6.2800	0.1099	0.0000	49.7056	0.0000	6.2926	9.5448
6.2800	-0.0886	0.0000	-10.9760	0.0000	6.4902	9.5889
6.2800	0.0107	0.0000	57.7547	0.0000	6.3890	9.6326
6.2800	0.2544	0.0000	121.8016	0.0000	6.1467	9.6756
6.2800	0.0083	0.0000	-0.8801	0.0000	6.3903	9.7193
6.2800	-0.0594	0.0000	-34.6843	0.0000	6.4557	9.7619
6.2800	0.1104	0.0000	88.3162	0.0000	6.2879	9.8048
6.2800	0.3595	0.0000	109.1105	0.0000	5.9960	9.8474
6.2800	0.2120	0.0000	138.9425	0.0000	6.2009	9.8907
6.2800	0.0484	0.0000	38.0777	0.0000	6.3719	9.9341
6.2800	0.0212	0.0000	62.8089	0.0000	6.4016	9.9774
6.2800	-0.0668	0.0000	18.9489	0.0000	6.4885	10.0211
6.2800	0.0326	0.0000	84.0468	0.0000	6.4804	10.0652
6.2800	0.0933	0.0000	22.1635	0.0000	6.3278	10.1074
6.2800	-0.0289	0.0000	-0.4245	0.0000	6.4432	10.1511
6.2800	0.1995	0.0000	75.1242	0.0000	6.2195	10.1941
6.2800	0.0651	0.0000	65.6171	0.0000	6.3531	10.2374
6.2800	0.0308	0.0000	29.3596	0.0000	6.3803	10.2811
6.2800	0.1017	0.0000	118.1080	0.0000	6.4741	10.3248
6.2800	0.1225	0.0000	94.8411	0.0000	6.2891	10.3670
6.2800	0.1230	0.0000	37.3301	0.0000	6.2926	10.4100
6.2800	-0.0063	0.0000	-8.2460	0.0000	6.4132	10.4541
6.2800	-0.0068	0.0000	30.3722	0.0000	6.4117	10.4974
6.2800	0.1782	0.0000	141.1967	0.0000	6.2327	10.5396
6.2800	0.1357	0.0000	100.8332	0.0000	6.2787	10.5829
6.2800	0.0676	0.0000	101.3087	0.0000	6.3627	10.6270
6.2800	-0.0473	0.0000	-47.9199	0.0000	6.4604	10.6700
